,class,x1_mean,y1_mean,z1_mean,x2_mean,y2_mean,z2_mean,x3_mean,y3_mean,z3_mean,x4_mean,y4_mean,z4_mean,x1_max,y1_max,z1_max,x2_max,y2_max,z2_max,x3_max,y3_max,z3_max,x4_max,y4_max,z4_max,x1_var,y1_var,z1_var,x2_var,y2_var,z2_var,x3_var,y3_var,z3_var,x4_var,y4_var,z4_var
31,logout,0.750333333,-4.924333333,-1.599333333,6.355,29.531,30.28,9.696333333,-0.764666667,-0.701,-0.457333333,-0.027666667,2.495333333,19.62,8.02,7.98,250.13,250.13,250.13,9.92,-0.29,-0.4,9.45,5.76,6.28,180.0190102,22.54571506,67.46076506,43325.56266,45513.19829,51903.10072,0.016961954,0.095646437,0.027733448,17.4620892,10.81200471,2.394087816
32,logout,3.623666667,-5.223666667,-1.513,-45.85566667,-24.14833333,-9.243333333,9.668333333,-0.794,-0.747333333,0.143333333,1.188333333,1.356,18.32,2.12,8.85,250.13,250.13,250.13,10.13,-0.15,-0.31,12.35,6.55,4.32,132.9073551,11.47737575,51.84371138,41208.53656,40125.11595,45902.86573,0.025607471,0.098217931,0.033151264,28.55574713,8.566083333,2.841314483
33,logout,4.155666667,-5.726,-1.859666667,20.41633333,22.79066667,36.83666667,9.693,-0.624,-0.704,-0.879666667,2.386,1.528666667,19.62,3.68,11.64,250.13,250.13,250.13,9.98,-0.08,-0.32,10.42,11.23,8.58,119.0827357,15.88880414,77.19145161,47429.38523,45404.80378,49331.57364,0.040628621,0.10490069,0.034238621,43.77984471,35.67593517,8.018191264
34,logout,2.021666667,-3.417333333,-1.870666667,-53.04866667,-49.172,-35.14133333,9.693333333,-0.659,-0.480666667,1.733333333,1.306666667,2.765333333,19.62,7.37,10.51,250.13,250.13,250.13,9.9,-0.23,-0.06,14.72,5.76,7.98,206.0362075,23.47893747,98.17326851,43644.87363,37613.80493,49031.52601,0.012457471,0.046919655,0.04002023,16.05093333,7.487036782,5.941818851
35,logout,4.339666667,-3.85,-1.768333333,-26.31266667,-19.53033333,-15.67933333,9.725666667,-0.804333333,-0.581,-1.688666667,0.051,2.084666667,19.62,4.77,10.44,250.13,250.13,250.13,9.96,-0.2,-0.2,12.98,4.98,7.2,151.1352516,14.26087586,103.2596971,47356.05497,49239.96407,49077.55081,0.013418506,0.121535747,0.039216207,53.15063264,6.647926552,9.908970575
36,logout,5.214,-3.239,-2.253,-14.47866667,-19.723,-2.692666667,9.708,-0.774,-0.598,-0.501666667,0.423333333,1.647333333,19.62,4.73,9.35,250.13,250.13,250.13,9.97,0.04,-0.21,9.66,5.59,8.12,173.6778938,13.26783,75.52858034,39366.81014,52047.54045,49229.28514,0.016513103,0.158183448,0.056995862,32.60300747,4.146967816,7.404365057
37,logout,4.754333333,-1.527,-4.557333333,0.781,35.88766667,32.30966667,9.661666667,-0.92,-0.629333333,-0.626333333,1.148666667,3.596,19.62,5.02,13.91,250.13,250.13,250.13,10.07,-0.39,-0.2,5.57,6.56,5.92,135.0897771,14.78025621,82.71939954,41590.17793,53194.83117,51187.73939,0.021966092,0.08477931,0.04444092,9.773548161,9.069322299,2.048645517
38,logout,5.403888889,1.546666667,-6.79,13.43888889,0.686666667,15.34611111,9.648333333,-1.065555556,-0.622777778,-0.655,0.608333333,-1.735,19.62,16.53,3.26,250.13,250.13,250.13,10.53,0.68,0.19,23.4,10.44,4.47,125.1903075,40.98924706,41.73335294,49087.80774,60618.44232,62358.33206,0.156061765,0.553884967,0.093268301,148.0805206,21.96288529,16.95882647
0,logout,2.289,-4.583,-3.277666667,-11.06433333,-14.911,4.922666667,9.753333333,-1.18,-0.804666667,9.382,0.624666667,1.122666667,19.62,3.64,5.79,250.13,250.13,250.13,10.9,-0.25,-0.43,20.95,6.77,6.9,202.8103541,10.76055276,42.01089437,38004.31778,45698.02316,50251.9251,0.237933333,0.335531034,0.028749885,59.49196138,26.0405223,9.286523678
1,logout,1.718333333,-3.031,-0.067666667,-43.26933333,-3.398333333,1.522666667,9.644666667,-0.752333333,-0.707666667,-1.220666667,2.407666667,-1.131,19.62,6.37,13.05,250.13,250.13,250.13,10.41,0.08,0.03,6.95,11,6.7,227.5802213,24.26016793,98.90225299,32620.0012,47651.59982,47201.70959,0.080191264,0.235011609,0.06299092,24.39198575,26.28994264,11.08516793
2,logout,3.479333333,-4.082666667,-2.809,0.857666667,20.056,19.483,9.725333333,-0.245666667,-0.616333333,1.069666667,1.252,2.27,18.38,9.3,15.53,250.13,250.13,250.13,10.17,0.57,-0.24,8.41,5.99,10.4,107.9856547,29.13493057,99.87885759,53462.47449,47235.331,51475.6563,0.041956782,0.171315057,0.03083092,11.92672747,9.740478621,14.02135172
3,logout,-0.066,-3.707,-1.530666667,-47.806,-15.729,3.883,9.705333333,-0.572666667,-0.42,0.532666667,0.654333333,1.91,19.62,6.72,12.92,250.13,250.13,250.13,10.22,0.05,0.06,10.86,9.86,7.72,224.7594248,24.03549759,127.9903306,40628.47581,43389.31989,48480.75344,0.043115402,0.103606437,0.046972414,26.1514892,21.56921851,5.148875862
4,logout,2.533666667,-3.142,-2.819,-47.31466667,-14.427,-8.899,9.695666667,-0.434333333,-0.579,-0.492333333,0.317,1.432666667,19.62,4.59,11.45,250.13,250.13,250.13,9.98,0.17,-0.14,4.79,5.72,3.65,157.2954102,17.27141655,84.24491966,42620.84492,52919.5933,54517.2104,0.023542644,0.074825402,0.046733448,7.081163333,12.86622172,2.683330575
5,logout,1.701666667,-3.318666667,-2.329,2.638666667,24.67833333,17.39033333,9.701333333,-0.385333333,-0.674333333,-2.196,0.617666667,1.399666667,19.62,5.89,9.66,250.13,250.13,250.13,9.96,-0.03,-0.27,3.74,5,4.51,143.304973,14.12015678,79.19798172,44893.21873,50455.39257,52044.50463,0.022936092,0.036901609,0.038997816,12.47394897,7.221246092,3.157534368
6,logout,1.500333333,-2.679666667,-2.271,-36.26333333,-12.81066667,-12.099,9.693,-0.401333333,-0.467333333,-0.414666667,2.242666667,3.121333333,19.62,7.83,11.89,250.13,250.13,250.13,10.21,0.13,0.04,6.94,7.72,9.15,175.1036723,24.45202402,122.0306231,46145.89152,43445.29891,58382.864,0.061911379,0.080349885,0.041654713,21.27905333,12.00402713,9.388487816
7,logout,2.074,-4.361333333,-0.058333333,-0.791333333,-3.345666667,16.82,9.7,-0.548666667,-0.516666667,-1.486,-0.61,1.963666667,19.62,12.43,12.92,250.13,250.13,250.13,10.03,-0.06,0,7.21,7.61,6.98,160.7853007,22.04461195,71.74201437,33960.43874,41005.15915,47269.58207,0.019151724,0.07708092,0.053443678,29.84924552,15.42784828,6.429286092
8,logout,1.270333333,-2.047333333,5.486666667,-16.021,-0.947666667,-14.73066667,9.659333333,-0.431,-0.805666667,0.298666667,-0.887,2.128,19.62,11.36,19.62,250.13,250.13,250.13,10.01,0.51,-0.16,20.19,10.48,11.29,108.0365482,30.50114437,72.65377471,43259.22831,38362.383,60807.79981,0.042116782,0.301705862,0.052328851,160.0777982,23.15220793,25.97335448
9,logout,0.886333333,-1.447666667,2.245,-19.48333333,-3.08,1.924333333,9.714333333,-0.684333333,-0.847666667,2.875666667,1.126666667,1.381,19.62,15.07,19.62,250.13,250.13,250.13,10.19,0.04,-0.18,15,8.76,6.67,163.7171482,39.78448747,107.4241224,45706.209,52416.09072,57008.95705,0.029618506,0.166494368,0.058715057,31.73628057,15.49244368,7.223202414
