timestamp,action,goal,time_delta,correct,voltage,current,power,cumpower
1571365740.1524856,None,cowboy,60.04140877723694,False,0,0,0,0
1571365800.1911469,None,rocket,60.01671314239502,False,0,0,0,0
1571365860.2621293,None,cowboy,60.017903089523315,False,0,0,0,0
1571365920.3027308,None,rocket,60.01325535774231,False,0,0,0,0
1571365980.335367,None,tapshoulders,60.01040005683899,False,0,0,0,0
1571366040.3774736,None,tapshoulders,60.01695513725281,False,0,0,0,0
1571366100.4060855,None,bunny,60.00634241104126,False,0,0,0,0
1571366160.4509184,None,handmotor,60.01522088050842,False,0,0,0,0
1571366220.4920473,None,cowboy,60.00662565231323,False,0,0,0,0
1571366280.5359263,None,handmotor,60.00644564628601,False,0,0,0,0
1571366340.5884237,None,handmotor,60.025941133499146,False,0,0,0,0
1571366400.6219857,None,tapshoulders,60.00812792778015,False,0,0,0,0
1571366460.656041,None,bunny,60.01439189910889,False,0,0,0,0
1571366520.6800084,None,cowboy,60.00469517707825,False,0,0,0,0
1571366580.7291842,None,tapshoulders,60.02652192115784,False,0,0,0,0
1571366640.760157,None,rocket,60.00772142410278,False,0,0,0,0
